episode,episode_reward,goal_reached,reason,max_steps
1,-16766.84401371125,0,max step reached,300
2,-17473.230435979625,0,max step reached,300
3,-17853.668861270064,0,max step reached,300
4,-16911.20262984521,0,max step reached,300
5,-16584.271956655906,0,max step reached,300
6,-15947.105976003384,0,max step reached,300
7,-17379.968076686146,0,max step reached,300
8,-15499.386066399366,0,max step reached,300
9,-29150.22328478838,0,max step reached,300
10,-17626.933817929843,0,max step reached,300
11,-17288.81098861,0,max step reached,300
12,-17454.75134696149,0,max step reached,300
13,-17690.31252550739,0,max step reached,300
14,-17592.668729811492,0,max step reached,300
15,-16424.152722501243,0,max step reached,300
16,-16755.474097805763,0,max step reached,300
17,-15977.638870945306,0,max step reached,300
18,-16553.928218856858,0,max step reached,300
19,-16339.835445062638,0,max step reached,300
20,-16758.34854907296,0,max step reached,300
21,-15654.234997641373,0,max step reached,300
22,-17183.50323787331,0,max step reached,300
23,-16200.416040896893,0,max step reached,300
24,-16153.487298195627,0,max step reached,300
25,-17075.141954356804,0,max step reached,300
26,-16765.775074346042,0,max step reached,300
27,-17136.603198534638,0,max step reached,300
28,-17569.6425414904,0,max step reached,300
29,-15776.348956067193,0,max step reached,300
30,-16001.057294909559,0,max step reached,300
31,-17773.879603527224,0,max step reached,300
32,-17546.195472962238,0,max step reached,300
33,-15623.51966974277,0,max step reached,300
34,-16600.47490616204,0,max step reached,300
35,-16686.97622843055,0,max step reached,300
36,-17212.616171486876,0,max step reached,300
37,-17598.651072966175,0,max step reached,300
38,-15944.50201733172,0,max step reached,300
39,-17084.988206466645,0,max step reached,300
40,-16186.230022043454,0,max step reached,300
41,-16920.51454327984,0,max step reached,300
42,-29053.12504950597,0,max step reached,300
43,-15940.72922597725,0,max step reached,300
44,-16872.093390092163,0,max step reached,300
45,-16876.33180720958,0,max step reached,300
46,-15970.394340817345,0,max step reached,300
47,-17588.491726272077,0,max step reached,300
48,-15526.44668117451,0,max step reached,300
49,-17709.30894037331,0,max step reached,300
50,-15786.668317823023,0,max step reached,300
51,-16644.502218718597,0,max step reached,300
52,-16610.886178923876,0,max step reached,300
53,-16842.731701740795,0,max step reached,300
54,-16166.761512523331,0,max step reached,300
55,-16489.42640485219,0,max step reached,300
56,-29153.891464012904,0,max step reached,300
57,-16565.39000135087,0,max step reached,300
58,-16542.788936239358,0,max step reached,300
59,-15807.429698469421,0,max step reached,300
60,-16720.399217132148,0,max step reached,300
61,-17205.996049496927,0,max step reached,300
62,-17263.33212724907,0,max step reached,300
63,-17777.628566030613,0,max step reached,300
64,-17647.496665034865,0,max step reached,300
65,-17593.452207271657,0,max step reached,300
66,-16226.749954970843,0,max step reached,300
67,-16568.33280630272,0,max step reached,300
68,-17769.075964496074,0,max step reached,300
69,-17777.030277438273,0,max step reached,300
70,-17514.991634964244,0,max step reached,300
71,-16014.774229048593,0,max step reached,300
72,-16839.884268979928,0,max step reached,300
73,-17893.53298489542,0,max step reached,300
74,-17076.083435023727,0,max step reached,300
75,-16945.243617395674,0,max step reached,300
76,-17246.64698783796,0,max step reached,300
77,-16514.521498267935,0,max step reached,300
78,-16868.087010366293,0,max step reached,300
79,-17589.15800962282,0,max step reached,300
80,-16716.806068550995,0,max step reached,300
81,-17775.327410212147,0,max step reached,300
82,-17564.35800534507,0,max step reached,300
83,-16802.83405569813,0,max step reached,300
84,-12582.530650392357,0,max step reached,300
85,-11777.758754067207,0,max step reached,300
86,-11522.578445543119,0,max step reached,300
87,-11775.640506237907,0,max step reached,300
88,-11723.341594059544,0,max step reached,300
89,-11476.325834285028,0,max step reached,300
90,-11281.639045819456,0,max step reached,300
91,-11315.026576079335,0,max step reached,300
92,-11486.143347697198,0,max step reached,300
93,-722.332431972113,1,goal reached,71
94,-11523.239712815415,0,max step reached,300
95,-11722.47125722858,0,max step reached,300
96,-11316.871337018374,0,max step reached,300
97,-11522.31883594512,0,max step reached,300
98,-11724.840682155338,0,max step reached,300
99,-11770.309164928738,0,max step reached,300
100,-11227.596250262368,0,max step reached,300
101,-11315.026576079335,0,max step reached,300
102,-11486.143347697198,0,max step reached,300
103,-722.332431972113,1,goal reached,71
104,-11523.239712815415,0,max step reached,300
105,-11722.47125722858,0,max step reached,300
106,-11316.871337018374,0,max step reached,300
107,-11522.31883594512,0,max step reached,300
108,-11724.840682155338,0,max step reached,300
109,-11770.309164928738,0,max step reached,300
110,-11227.596250262368,0,max step reached,300
111,-11315.026576079335,0,max step reached,300
112,-11486.143347697198,0,max step reached,300
113,-722.332431972113,1,goal reached,71
114,-11523.239712815415,0,max step reached,300
115,-11722.47125722858,0,max step reached,300
116,-11316.871337018374,0,max step reached,300
117,-11522.31883594512,0,max step reached,300
118,-11724.840682155338,0,max step reached,300
119,-11770.309164928738,0,max step reached,300
120,-11227.596250262368,0,max step reached,300
121,-11315.026576079335,0,max step reached,300
122,-11486.143347697198,0,max step reached,300
123,-722.332431972113,1,goal reached,71
124,-11523.239712815415,0,max step reached,300
125,-11722.47125722858,0,max step reached,300
126,-11316.871337018374,0,max step reached,300
127,-11522.31883594512,0,max step reached,300
128,-11724.840682155338,0,max step reached,300
129,-11770.309164928738,0,max step reached,300
130,-11227.596250262368,0,max step reached,300
131,-11315.026576079335,0,max step reached,300
132,-11486.143347697198,0,max step reached,300
133,-722.332431972113,1,goal reached,71
134,-11523.239712815415,0,max step reached,300
