episode,episode_reward,goal_reached,reason,max_steps
1,-31073.50599029793,0,max step reached,300
2,-29410.53617843404,0,max step reached,300
3,-31072.253487987116,0,max step reached,300
4,-29413.319752564334,0,max step reached,300
5,-29390.573278628122,0,max step reached,300
6,-29403.907244780203,0,max step reached,300
7,-29412.538075173838,0,max step reached,300
8,-29323.14253496317,0,max step reached,300
9,-31028.155410795902,0,max step reached,300
10,-29395.302600850282,0,max step reached,300
11,-29424.32968199228,0,max step reached,300
12,-29320.250772976746,0,max step reached,300
13,-29404.489468102158,0,max step reached,300
14,-29455.58803934351,0,max step reached,300
15,-30851.898930674328,0,max step reached,300
16,-29421.24615367698,0,max step reached,300
17,-29414.398019419834,0,max step reached,300
18,-31133.547514744827,0,max step reached,300
19,-32795.16115518949,0,max step reached,300
20,-29310.032351772723,0,max step reached,300
21,-29292.559015236227,0,max step reached,300
22,-29412.883420993945,0,max step reached,300
23,-30938.403321615257,0,max step reached,300
24,-29408.67227788908,0,max step reached,300
25,-32550.606791694874,0,max step reached,300
26,-29534.720416679338,0,max step reached,300
27,-32344.388401936685,0,max step reached,300
28,-30907.106314098615,0,max step reached,300
29,-29409.07348433285,0,max step reached,300
30,-29308.012373096677,0,max step reached,300
31,-29410.49888174597,0,max step reached,300
32,-30522.83716738551,0,max step reached,300
33,-29409.263943192764,0,max step reached,300
34,-29452.148981047107,0,max step reached,300
35,-29401.844318349773,0,max step reached,300
36,-29410.76322804011,0,max step reached,300
37,-31598.358201981053,0,max step reached,300
38,-31204.572382301987,0,max step reached,300
39,-29412.14534551912,0,max step reached,300
40,-29319.493688473987,0,max step reached,300
41,-32960.15302486523,0,max step reached,300
42,-29412.26849139897,0,max step reached,300
43,-29416.060438059765,0,max step reached,300
44,-30833.50537131404,0,max step reached,300
45,-29398.847035528164,0,max step reached,300
46,-30966.055486469504,0,max step reached,300
47,-29407.479774895823,0,max step reached,300
48,-30507.217205179742,0,max step reached,300
49,-29407.346376310194,0,max step reached,300
50,-29314.154804089147,0,max step reached,300
51,-32384.167283332572,0,max step reached,300
52,-29306.914562094975,0,max step reached,300
53,-29285.11823334306,0,max step reached,300
54,-29415.588873989822,0,max step reached,300
55,-29417.394016014805,0,max step reached,300
56,-31289.624671492726,0,max step reached,300
57,-31415.01886354539,0,max step reached,300
58,-29402.63793658735,0,max step reached,300
59,-30514.085333831892,0,max step reached,300
60,-29311.0489862814,0,max step reached,300
61,-29455.5461558134,0,max step reached,300
62,-29405.070143219367,0,max step reached,300
63,-29413.631735277402,0,max step reached,300
64,-29413.300859408762,0,max step reached,300
65,-29416.319770790808,0,max step reached,300
66,-29706.64942168555,0,max step reached,300
67,-29388.78074475447,0,max step reached,300
68,-32482.926914464944,0,max step reached,300
69,-29301.165662898384,0,max step reached,300
70,-29397.41845386874,0,max step reached,300
71,-29409.929881968845,0,max step reached,300
72,-29418.629677404602,0,max step reached,300
73,-29404.74075605967,0,max step reached,300
