episode,episode_reward,goal_reached,reason,max_steps
164,351.6794703980188,1,goal reached,50
165,349.82405669924754,1,goal reached,50
166,603.9988738139996,1,goal reached,39
167,345.70604031083724,1,goal reached,53
168,98.235250646135,1,goal reached,60
169,348.8582332820969,1,goal reached,50
170,363.05239376347834,1,goal reached,50
171,335.3991296780066,1,goal reached,53
172,348.93503528933866,1,goal reached,50
173,393.5360044829939,1,goal reached,49
174,351.6794703980188,1,goal reached,50
175,349.82405669924754,1,goal reached,50
176,603.9988738139996,1,goal reached,39
177,345.70604031083724,1,goal reached,53
178,98.235250646135,1,goal reached,60
179,348.8582332820969,1,goal reached,50
180,363.05239376347834,1,goal reached,50
181,335.3991296780066,1,goal reached,53
182,348.93503528933866,1,goal reached,50
183,393.5360044829939,1,goal reached,49
184,351.6794703980188,1,goal reached,50
185,349.82405669924754,1,goal reached,50
186,603.9988738139996,1,goal reached,39
187,345.70604031083724,1,goal reached,53
188,98.235250646135,1,goal reached,60
189,348.8582332820969,1,goal reached,50
190,363.05239376347834,1,goal reached,50
191,335.3991296780066,1,goal reached,53
192,348.93503528933866,1,goal reached,50
193,393.5360044829939,1,goal reached,49
194,351.6794703980188,1,goal reached,50
195,349.82405669924754,1,goal reached,50
196,603.9988738139996,1,goal reached,39
197,345.70604031083724,1,goal reached,53
198,98.235250646135,1,goal reached,60
199,348.8582332820969,1,goal reached,50
200,363.05239376347834,1,goal reached,50
201,335.3991296780066,1,goal reached,53
202,348.93503528933866,1,goal reached,50
203,393.5360044829939,1,goal reached,49
204,351.6794703980188,1,goal reached,50
205,349.82405669924754,1,goal reached,50
206,603.9988738139996,1,goal reached,39
207,345.70604031083724,1,goal reached,53
208,98.235250646135,1,goal reached,60
209,348.8582332820969,1,goal reached,50
210,363.05239376347834,1,goal reached,50
211,335.3991296780066,1,goal reached,53
212,348.93503528933866,1,goal reached,50
213,393.5360044829939,1,goal reached,49
214,351.6794703980188,1,goal reached,50
215,349.82405669924754,1,goal reached,50
216,603.9988738139996,1,goal reached,39
217,345.70604031083724,1,goal reached,53
218,98.235250646135,1,goal reached,60
219,348.8582332820969,1,goal reached,50
220,363.05239376347834,1,goal reached,50
221,335.3991296780066,1,goal reached,53
222,348.93503528933866,1,goal reached,50
223,393.5360044829939,1,goal reached,49
224,351.6794703980188,1,goal reached,50
225,349.82405669924754,1,goal reached,50
226,603.9988738139996,1,goal reached,39
227,345.70604031083724,1,goal reached,53
228,98.235250646135,1,goal reached,60
229,348.8582332820969,1,goal reached,50
230,363.05239376347834,1,goal reached,50
231,335.3991296780066,1,goal reached,53
232,348.93503528933866,1,goal reached,50
233,393.5360044829939,1,goal reached,49
